id,date,mood_avg,screen_avg,circumplex.valence_avg,circumplex.arousal_avg,activity_avg,appCat.social_avg,appCat.game_avg,appCat.entertainment_avg,target
AS14.06,2014-04-04,7.3100000000000005,84.0314904983692,0.55,-0.16,0.19397667037456282,71.40462082317073,530.2956,10.498165018365778,7.0
AS14.12,2014-04-10,6.07,58.22567320138372,0.38,0.09,0.12926725057949534,78.84361083893803,33.629066666666674,88.32181803124412,6.4
AS14.23,2014-03-31,7.05,41.202970471163056,1.28,0.27,0.39640992129536917,25.63605,57.661692887323944,136.0565857142857,7.5
AS14.23,2014-04-01,7.15,45.384905378152276,1.33,0.27,0.39200308174822507,23.40572727272727,59.92235955399061,123.8372294642857,7.5
AS14.23,2014-04-02,7.25,43.2954199145632,1.48,0.12,0.42301889463903797,24.04369090909091,42.51811955399061,88.1237919642857,7.0
AS14.23,2014-04-03,7.25,45.06951364732258,1.44,0.1,0.4358060910977283,23.55589090909091,44.14668955399061,101.03280078781512,7.0
AS14.23,2014-04-04,7.2,45.342446567543064,1.34,0.15,0.4284830555394688,23.758990909090908,47.045961666666656,119.99791264678947,7.0
AS14.23,2014-04-05,7.2,50.743410018867294,1.3,0.35,0.45361272646968576,22.84839090909091,45.486219999999996,137.04541693250377,6.5
AS14.23,2014-04-06,7.0,46.3670377409237,1.2,0.55,0.4553361570603083,22.605003636363637,40.73813025641026,118.6310270286576,7.0
AS14.23,2014-04-07,6.9,45.61936780371361,0.9199999999999999,0.55,0.41373282842159737,22.942919999999997,38.18671692307693,120.67849029396373,5.75
AS14.23,2014-04-08,6.65,41.548945098356036,0.77,0.4,0.39632485965003766,23.792636666666667,32.32533025641026,104.33783947043432,6.6
AS14.23,2014-04-09,6.57,41.58830381090819,0.6900000000000001,0.33999999999999997,0.3702362957675846,57.25908666666667,24.969210256410253,91.77044511145996,7.2
AS14.23,2014-04-10,6.610000000000001,38.26609710989849,0.7300000000000001,0.059999999999999984,0.33781461278644725,57.57008666666667,41.31887692307692,69.08290511145997,7.0
