id,date,mood_t-5,mood_t-4,mood_t-3,mood_t-2,mood_t-1,screen_t-5,screen_t-4,screen_t-3,screen_t-2,screen_t-1,circumplex.valence_t-5,circumplex.valence_t-4,circumplex.valence_t-3,circumplex.valence_t-2,circumplex.valence_t-1,target
AS14.01,2014-03-26,6.2,6.4,6.8,6.0,6.75,91.99379914642401,47.61365115919778,61.56731189595589,65.73698469692347,77.63742125128195,0.2,0.4,0.8,0.0,0.5,6.6
AS14.01,2014-03-27,6.4,6.8,6.0,6.75,6.6,47.61365115919778,61.56731189595589,65.73698469692347,77.63742125128195,58.7735977015276,0.4,0.8,0.0,0.5,0.6,7.0
AS14.01,2014-03-28,6.8,6.0,6.75,6.6,7.0,61.56731189595589,65.73698469692347,77.63742125128195,58.7735977015276,58.68426666171461,0.8,0.0,0.5,0.6,0.8,6.4
AS14.01,2014-03-29,6.0,6.75,6.6,7.0,6.4,65.73698469692347,77.63742125128195,58.7735977015276,58.68426666171461,55.94873863187704,0.0,0.5,0.6,0.8,0.6,8.0
AS14.01,2014-03-30,6.75,6.6,7.0,6.4,8.0,77.63742125128195,58.7735977015276,58.68426666171461,55.94873863187704,90.62452343478796,0.5,0.6,0.8,0.6,1.0,7.5
AS14.01,2014-03-31,6.6,7.0,6.4,8.0,7.5,58.7735977015276,58.68426666171461,55.94873863187704,90.62452343478796,92.09494447266619,0.6,0.8,0.6,1.0,0.75,7.4
AS14.01,2014-04-01,7.0,6.4,8.0,7.5,7.4,58.68426666171461,55.94873863187704,90.62452343478796,92.09494447266619,63.29901613150873,0.8,0.6,1.0,0.75,0.6,6.0
AS14.01,2014-04-02,6.4,8.0,7.5,7.4,6.0,55.94873863187704,90.62452343478796,92.09494447266619,63.29901613150873,72.1208421155026,0.6,1.0,0.75,0.6,0.0,6.5
AS14.01,2014-04-03,8.0,7.5,7.4,6.0,6.5,90.62452343478796,92.09494447266619,63.29901613150873,72.1208421155026,66.15935176874683,1.0,0.75,0.6,0.0,0.75,6.4
AS14.01,2014-04-04,7.5,7.4,6.0,6.5,6.4,92.09494447266619,63.29901613150873,72.1208421155026,66.15935176874683,52.48545709341319,0.75,0.6,0.0,0.75,0.0,6.2
