id,date,mood_avg,screen_avg,circumplex.valence_avg,circumplex.arousal_avg,activity_avg,appCat.social_avg,appCat.entertainment_avg,appCat.communication_avg,appCat.other_avg,appCat.travel_avg,target
AS14.01,2014-03-03,6.754113475177306,65.18250366494178,0.6294326241134751,-0.19712765957446807,0.09755598517741806,67.9589425892002,90.31166900152735,48.397379467387175,19.476323499892253,36.60173012797378,7.062411347517732
AS14.01,2014-03-04,6.916595744680852,66.62380619015661,0.6170212765957446,-0.19617021276595742,0.09650749754281353,64.91328659390388,90.09576626629561,51.329638200616216,18.022623925782263,38.4958325618662,7.062411347517732
AS14.01,2014-03-05,7.062411347517733,67.23597547873074,0.6879432624113474,-0.2452127659574468,0.0904637271896177,60.48087673932505,89.31394816025048,51.93511928010226,16.835057685005605,39.67081542760748,7.062411347517732
AS14.01,2014-03-06,7.062411347517733,67.23597547873074,0.6879432624113474,-0.2452127659574468,0.0904637271896177,60.48087673932505,89.31394816025048,51.93511928010226,16.835057685005605,39.67081542760748,7.062411347517732
AS14.01,2014-03-07,7.062411347517733,67.23597547873074,0.6879432624113474,-0.2452127659574468,0.0904637271896177,60.48087673932505,89.31394816025048,51.93511928010226,16.835057685005605,39.67081542760748,7.062411347517732
AS14.01,2014-03-08,7.062411347517733,67.23597547873074,0.6879432624113474,-0.2452127659574468,0.0904637271896177,60.48087673932505,89.31394816025048,51.93511928010226,16.835057685005605,39.67081542760748,7.062411347517732
AS14.01,2014-03-09,7.062411347517733,67.23597547873074,0.6879432624113474,-0.2452127659574468,0.0904637271896177,60.48087673932505,89.31394816025048,51.93511928010226,16.835057685005605,39.67081542760748,7.062411347517732
AS14.01,2014-03-10,7.062411347517733,67.23597547873074,0.6879432624113474,-0.2452127659574468,0.0904637271896177,60.48087673932505,89.31394816025048,51.93511928010226,16.835057685005605,39.67081542760748,7.062411347517732
AS14.01,2014-03-11,7.062411347517733,67.23597547873074,0.6879432624113474,-0.2452127659574468,0.0904637271896177,60.48087673932505,89.31394816025048,51.93511928010226,16.835057685005605,39.67081542760748,7.062411347517732
AS14.01,2014-03-12,7.062411347517733,67.23597547873074,0.6879432624113474,-0.2452127659574468,0.0904637271896177,60.48087673932505,89.31394816025048,51.93511928010226,16.835057685005605,39.67081542760748,7.062411347517732
AS14.01,2014-03-13,7.062411347517733,67.23597547873074,0.6879432624113474,-0.2452127659574468,0.0904637271896177,60.48087673932505,89.31394816025048,51.93511928010226,16.835057685005605,39.67081542760748,7.062411347517732
AS14.01,2014-03-14,7.062411347517733,67.23597547873074,0.6879432624113474,-0.2452127659574468,0.0904637271896177,60.48087673932505,89.31394816025048,51.93511928010226,16.835057685005605,39.67081542760748,7.062411347517732
AS14.01,2014-03-15,7.062411347517733,67.23597547873074,0.6879432624113474,-0.2452127659574468,0.0904637271896177,60.48087673932505,89.31394816025048,51.93511928010226,16.835057685005605,39.67081542760748,7.062411347517732
AS14.01,2014-03-16,7.062411347517733,67.23597547873074,0.6879432624113474,-0.2452127659574468,0.0904637271896177,60.48087673932505,89.31394816025048,51.93511928010226,16.835057685005605,39.67081542760748,7.062411347517732
AS14.01,2014-03-17,7.062411347517733,67.23597547873074,0.6879432624113474,-0.2452127659574468,0.0904637271896177,60.48087673932505,89.31394816025048,51.93511928010226,16.835057685005605,39.67081542760748,7.062411347517732
AS14.01,2014-03-18,7.062411347517733,67.23597547873074,0.6879432624113474,-0.2452127659574468,0.0904637271896177,60.48087673932505,89.31394816025048,51.93511928010226,16.835057685005605,39.67081542760748,7.062411347517732
