id,date,mood_avg,mood_std,mood_min,mood_max,mood_trend,screen_avg,screen_std,screen_min,screen_max,screen_trend,circumplex.valence_avg,circumplex.valence_std,circumplex.valence_min,circumplex.valence_max,circumplex.valence_trend,circumplex.arousal_avg,circumplex.arousal_std,circumplex.arousal_min,circumplex.arousal_max,circumplex.arousal_trend,activity_avg,activity_std,activity_min,activity_max,activity_trend,appCat.social_avg,appCat.social_std,appCat.social_min,appCat.social_max,appCat.social_trend,appCat.entertainment_avg,appCat.entertainment_std,appCat.entertainment_min,appCat.entertainment_max,appCat.entertainment_trend,appCat.communication_avg,appCat.communication_std,appCat.communication_min,appCat.communication_max,appCat.communication_trend,appCat.other_avg,appCat.other_std,appCat.other_min,appCat.other_max,appCat.other_trend,appCat.travel_avg,appCat.travel_std,appCat.travel_min,appCat.travel_max,appCat.travel_trend,target
AS14.01,2014-03-03,6.754113475177306,0.4231811249023505,6.25,7.062411347517732,0.8124113475177319,71.8773408407865,6.077224958766455,61.47422051562696,75.49667840585477,14.022457890227805,0.6294326241134751,0.1676915073212854,0.3333333333333333,0.75,-0.0620567375886526,-0.19712765957446807,0.11021720704927142,-0.25,0.0,0.004787234042553212,0.09755598517741806,0.013125943234912615,0.0904637271896177,0.1206825789555968,-0.005242438173022737,67.9589425892002,10.529121458376196,60.480876739325055,82.64292601221912,-15.228279976481659,87.71483950764173,3.8683531586093762,84.98589900377442,93.22303869047619,-5.407562832634781,46.42648308034805,5.117705122973234,37.27382561395704,48.907713882672034,11.376466354413353,19.476323499892253,3.6471727123744455,16.835057685005605,24.103555555555555,-7.26849787054995,36.60173012797378,4.390580720116396,30.200303258145357,39.67081542760748,9.470512169462122,7.062411347517732
AS14.01,2014-03-04,6.916595744680852,0.3260536001233743,6.333333333333333,7.062411347517732,0.7290780141843989,74.68183241883206,1.822051018175672,71.42244847074126,75.49667840585477,4.074229935113507,0.6170212765957446,0.15858638138296374,0.3333333333333333,0.6879432624113474,0.3546099290780141,-0.19617021276595742,0.10966248272631945,-0.2452127659574468,0.0,-0.2452127659574468,0.09650749754281353,0.01351428135014376,0.0904637271896177,0.1206825789555968,-0.03021885176597909,64.91328659390388,9.911169738978185,60.480876739325055,82.64292601221912,-22.162049272894066,86.63332694111477,3.683760855925294,84.98589900377442,93.22303869047619,-8.237139686701767,48.70177635123072,0.11512257985532069,48.65029196837039,48.907713882672034,-0.25742191430164496,18.022623925782263,2.655478842160487,16.835057685005605,22.77288888888889,-5.937831203883285,38.4958325618662,2.6273415601949996,33.795901098901105,39.67081542760748,5.8749143287063745,7.062411347517732
AS14.01,2014-03-05,7.062411347517733,9.930136612989092e-16,7.062411347517732,7.062411347517732,0.0,75.49667840585477,0.0,75.49667840585477,75.49667840585477,0.0,0.6879432624113474,0.0,0.6879432624113474,0.6879432624113474,0.0,-0.2452127659574468,0.0,-0.2452127659574468,-0.2452127659574468,0.0,0.0904637271896177,0.0,0.0904637271896177,0.0904637271896177,0.0,60.48087673932505,7.944109290391274e-15,60.480876739325055,60.480876739325055,0.0,84.98589900377442,0.0,84.98589900377442,84.98589900377442,0.0,48.65029196837039,0.0,48.65029196837039,48.65029196837039,0.0,16.835057685005605,0.0,16.835057685005605,16.835057685005605,0.0,39.67081542760748,0.0,39.67081542760748,39.67081542760748,0.0,7.062411347517732
AS14.01,2014-03-06,7.062411347517733,9.930136612989092e-16,7.062411347517732,7.062411347517732,0.0,75.49667840585477,0.0,75.49667840585477,75.49667840585477,0.0,0.6879432624113474,0.0,0.6879432624113474,0.6879432624113474,0.0,-0.2452127659574468,0.0,-0.2452127659574468,-0.2452127659574468,0.0,0.0904637271896177,0.0,0.0904637271896177,0.0904637271896177,0.0,60.48087673932505,7.944109290391274e-15,60.480876739325055,60.480876739325055,0.0,84.98589900377442,0.0,84.98589900377442,84.98589900377442,0.0,48.65029196837039,0.0,48.65029196837039,48.65029196837039,0.0,16.835057685005605,0.0,16.835057685005605,16.835057685005605,0.0,39.67081542760748,0.0,39.67081542760748,39.67081542760748,0.0,7.062411347517732
AS14.01,2014-03-07,7.062411347517733,9.930136612989092e-16,7.062411347517732,7.062411347517732,0.0,75.49667840585477,0.0,75.49667840585477,75.49667840585477,0.0,0.6879432624113474,0.0,0.6879432624113474,0.6879432624113474,0.0,-0.2452127659574468,0.0,-0.2452127659574468,-0.2452127659574468,0.0,0.0904637271896177,0.0,0.0904637271896177,0.0904637271896177,0.0,60.48087673932505,7.944109290391274e-15,60.480876739325055,60.480876739325055,0.0,84.98589900377442,0.0,84.98589900377442,84.98589900377442,0.0,48.65029196837039,0.0,48.65029196837039,48.65029196837039,0.0,16.835057685005605,0.0,16.835057685005605,16.835057685005605,0.0,39.67081542760748,0.0,39.67081542760748,39.67081542760748,0.0,7.062411347517732
AS14.01,2014-03-08,7.062411347517733,9.930136612989092e-16,7.062411347517732,7.062411347517732,0.0,75.49667840585477,0.0,75.49667840585477,75.49667840585477,0.0,0.6879432624113474,0.0,0.6879432624113474,0.6879432624113474,0.0,-0.2452127659574468,0.0,-0.2452127659574468,-0.2452127659574468,0.0,0.0904637271896177,0.0,0.0904637271896177,0.0904637271896177,0.0,60.48087673932505,7.944109290391274e-15,60.480876739325055,60.480876739325055,0.0,84.98589900377442,0.0,84.98589900377442,84.98589900377442,0.0,48.65029196837039,0.0,48.65029196837039,48.65029196837039,0.0,16.835057685005605,0.0,16.835057685005605,16.835057685005605,0.0,39.67081542760748,0.0,39.67081542760748,39.67081542760748,0.0,7.062411347517732
AS14.01,2014-03-09,7.062411347517733,9.930136612989092e-16,7.062411347517732,7.062411347517732,0.0,75.49667840585477,0.0,75.49667840585477,75.49667840585477,0.0,0.6879432624113474,0.0,0.6879432624113474,0.6879432624113474,0.0,-0.2452127659574468,0.0,-0.2452127659574468,-0.2452127659574468,0.0,0.0904637271896177,0.0,0.0904637271896177,0.0904637271896177,0.0,60.48087673932505,7.944109290391274e-15,60.480876739325055,60.480876739325055,0.0,84.98589900377442,0.0,84.98589900377442,84.98589900377442,0.0,48.65029196837039,0.0,48.65029196837039,48.65029196837039,0.0,16.835057685005605,0.0,16.835057685005605,16.835057685005605,0.0,39.67081542760748,0.0,39.67081542760748,39.67081542760748,0.0,7.062411347517732
AS14.01,2014-03-10,7.062411347517733,9.930136612989092e-16,7.062411347517732,7.062411347517732,0.0,75.49667840585477,0.0,75.49667840585477,75.49667840585477,0.0,0.6879432624113474,0.0,0.6879432624113474,0.6879432624113474,0.0,-0.2452127659574468,0.0,-0.2452127659574468,-0.2452127659574468,0.0,0.0904637271896177,0.0,0.0904637271896177,0.0904637271896177,0.0,60.48087673932505,7.944109290391274e-15,60.480876739325055,60.480876739325055,0.0,84.98589900377442,0.0,84.98589900377442,84.98589900377442,0.0,48.65029196837039,0.0,48.65029196837039,48.65029196837039,0.0,16.835057685005605,0.0,16.835057685005605,16.835057685005605,0.0,39.67081542760748,0.0,39.67081542760748,39.67081542760748,0.0,7.062411347517732
AS14.01,2014-03-11,7.062411347517733,9.930136612989092e-16,7.062411347517732,7.062411347517732,0.0,75.49667840585477,0.0,75.49667840585477,75.49667840585477,0.0,0.6879432624113474,0.0,0.6879432624113474,0.6879432624113474,0.0,-0.2452127659574468,0.0,-0.2452127659574468,-0.2452127659574468,0.0,0.0904637271896177,0.0,0.0904637271896177,0.0904637271896177,0.0,60.48087673932505,7.944109290391274e-15,60.480876739325055,60.480876739325055,0.0,84.98589900377442,0.0,84.98589900377442,84.98589900377442,0.0,48.65029196837039,0.0,48.65029196837039,48.65029196837039,0.0,16.835057685005605,0.0,16.835057685005605,16.835057685005605,0.0,39.67081542760748,0.0,39.67081542760748,39.67081542760748,0.0,7.062411347517732
AS14.01,2014-03-12,7.062411347517733,9.930136612989092e-16,7.062411347517732,7.062411347517732,0.0,75.49667840585477,0.0,75.49667840585477,75.49667840585477,0.0,0.6879432624113474,0.0,0.6879432624113474,0.6879432624113474,0.0,-0.2452127659574468,0.0,-0.2452127659574468,-0.2452127659574468,0.0,0.0904637271896177,0.0,0.0904637271896177,0.0904637271896177,0.0,60.48087673932505,7.944109290391274e-15,60.480876739325055,60.480876739325055,0.0,84.98589900377442,0.0,84.98589900377442,84.98589900377442,0.0,48.65029196837039,0.0,48.65029196837039,48.65029196837039,0.0,16.835057685005605,0.0,16.835057685005605,16.835057685005605,0.0,39.67081542760748,0.0,39.67081542760748,39.67081542760748,0.0,7.062411347517732
